time,phi,theta,FILE
7.00E+00,120,-30,image/phi_120/theta_-30/time_7.000000e+00.png
7.00E+00,120,0,image/phi_120/theta_0/time_7.000000e+00.png
7.00E+00,120,29,image/phi_120/theta_29/time_7.000000e+00.png
7.00E+00,120,60,image/phi_120/theta_60/time_7.000000e+00.png
7.00E+00,120,90,image/phi_120/theta_90/time_7.000000e+00.png
7.00E+00,180,-90,image/phi_180/theta_-90/time_7.000000e+00.png
7.00E+00,180,-60,image/phi_180/theta_-60/time_7.000000e+00.png
7.00E+00,180,-30,image/phi_180/theta_-30/time_7.000000e+00.png
7.00E+00,180,0,image/phi_180/theta_0/time_7.000000e+00.png
7.00E+00,180,29,image/phi_180/theta_29/time_7.000000e+00.png
7.00E+00,180,60,image/phi_180/theta_60/time_7.000000e+00.png
7.00E+00,180,90,image/phi_180/theta_90/time_7.000000e+00.png
8.00E+00,-180,-90,image/phi_-180/theta_-90/time_8.000000e+00.png
8.00E+00,-180,-60,image/phi_-180/theta_-60/time_8.000000e+00.png
8.00E+00,-180,-30,image/phi_-180/theta_-30/time_8.000000e+00.png
8.00E+00,-180,0,image/phi_-180/theta_0/time_8.000000e+00.png
8.00E+00,-180,29,image/phi_-180/theta_29/time_8.000000e+00.png
8.00E+00,-180,60,image/phi_-180/theta_60/time_8.000000e+00.png
8.00E+00,-180,90,image/phi_-180/theta_90/time_8.000000e+00.png
8.00E+00,-120,-90,image/phi_-120/theta_-90/time_8.000000e+00.png
8.00E+00,-120,-60,image/phi_-120/theta_-60/time_8.000000e+00.png
8.00E+00,-120,-30,image/phi_-120/theta_-30/time_8.000000e+00.png
8.00E+00,-120,0,image/phi_-120/theta_0/time_8.000000e+00.png
8.00E+00,-120,29,image/phi_-120/theta_29/time_8.000000e+00.png
8.00E+00,-120,60,image/phi_-120/theta_60/time_8.000000e+00.png
8.00E+00,-120,90,image/phi_-120/theta_90/time_8.000000e+00.png
8.00E+00,-60,-90,image/phi_-60/theta_-90/time_8.000000e+00.png
8.00E+00,-60,-60,image/phi_-60/theta_-60/time_8.000000e+00.png
8.00E+00,-60,-30,image/phi_-60/theta_-30/time_8.000000e+00.png
8.00E+00,-60,0,image/phi_-60/theta_0/time_8.000000e+00.png
8.00E+00,-60,29,image/phi_-60/theta_29/time_8.000000e+00.png
8.00E+00,-60,60,image/phi_-60/theta_60/time_8.000000e+00.png
8.00E+00,-60,90,image/phi_-60/theta_90/time_8.000000e+00.png
8.00E+00,0,-90,image/phi_0/theta_-90/time_8.000000e+00.png
8.00E+00,0,-60,image/phi_0/theta_-60/time_8.000000e+00.png
8.00E+00,0,-30,image/phi_0/theta_-30/time_8.000000e+00.png
8.00E+00,0,0,image/phi_0/theta_0/time_8.000000e+00.png
8.00E+00,0,29,image/phi_0/theta_29/time_8.000000e+00.png
8.00E+00,0,60,image/phi_0/theta_60/time_8.000000e+00.png
8.00E+00,0,90,image/phi_0/theta_90/time_8.000000e+00.png
8.00E+00,59,-90,image/phi_59/theta_-90/time_8.000000e+00.png
8.00E+00,59,-60,image/phi_59/theta_-60/time_8.000000e+00.png
8.00E+00,59,-30,image/phi_59/theta_-30/time_8.000000e+00.png
8.00E+00,59,0,image/phi_59/theta_0/time_8.000000e+00.png
8.00E+00,59,29,image/phi_59/theta_29/time_8.000000e+00.png
8.00E+00,59,60,image/phi_59/theta_60/time_8.000000e+00.png
8.00E+00,59,90,image/phi_59/theta_90/time_8.000000e+00.png
8.00E+00,120,-90,image/phi_120/theta_-90/time_8.000000e+00.png
8.00E+00,120,-60,image/phi_120/theta_-60/time_8.000000e+00.png
8.00E+00,120,-30,image/phi_120/theta_-30/time_8.000000e+00.png
8.00E+00,120,0,image/phi_120/theta_0/time_8.000000e+00.png
8.00E+00,120,29,image/phi_120/theta_29/time_8.000000e+00.png
8.00E+00,120,60,image/phi_120/theta_60/time_8.000000e+00.png
8.00E+00,120,90,image/phi_120/theta_90/time_8.000000e+00.png
8.00E+00,180,-90,image/phi_180/theta_-90/time_8.000000e+00.png
8.00E+00,180,-60,image/phi_180/theta_-60/time_8.000000e+00.png
8.00E+00,180,-30,image/phi_180/theta_-30/time_8.000000e+00.png
8.00E+00,180,0,image/phi_180/theta_0/time_8.000000e+00.png
8.00E+00,180,29,image/phi_180/theta_29/time_8.000000e+00.png
8.00E+00,180,60,image/phi_180/theta_60/time_8.000000e+00.png
8.00E+00,180,90,image/phi_180/theta_90/time_8.000000e+00.png
9.00E+00,-180,-90,image/phi_-180/theta_-90/time_9.000000e+00.png
9.00E+00,-180,-60,image/phi_-180/theta_-60/time_9.000000e+00.png
9.00E+00,-180,-30,image/phi_-180/theta_-30/time_9.000000e+00.png
9.00E+00,-180,0,image/phi_-180/theta_0/time_9.000000e+00.png
9.00E+00,-180,29,image/phi_-180/theta_29/time_9.000000e+00.png
9.00E+00,-180,60,image/phi_-180/theta_60/time_9.000000e+00.png
9.00E+00,-180,90,image/phi_-180/theta_90/time_9.000000e+00.png
9.00E+00,-120,-90,image/phi_-120/theta_-90/time_9.000000e+00.png
9.00E+00,-120,-60,image/phi_-120/theta_-60/time_9.000000e+00.png
9.00E+00,-120,-30,image/phi_-120/theta_-30/time_9.000000e+00.png
9.00E+00,-120,0,image/phi_-120/theta_0/time_9.000000e+00.png
9.00E+00,-120,29,image/phi_-120/theta_29/time_9.000000e+00.png
9.00E+00,-120,60,image/phi_-120/theta_60/time_9.000000e+00.png
9.00E+00,-120,90,image/phi_-120/theta_90/time_9.000000e+00.png
9.00E+00,-60,-90,image/phi_-60/theta_-90/time_9.000000e+00.png
9.00E+00,-60,-60,image/phi_-60/theta_-60/time_9.000000e+00.png
9.00E+00,-60,-30,image/phi_-60/theta_-30/time_9.000000e+00.png
9.00E+00,-60,0,image/phi_-60/theta_0/time_9.000000e+00.png
9.00E+00,-60,29,image/phi_-60/theta_29/time_9.000000e+00.png
9.00E+00,-60,60,image/phi_-60/theta_60/time_9.000000e+00.png
9.00E+00,-60,90,image/phi_-60/theta_90/time_9.000000e+00.png
9.00E+00,0,-90,image/phi_0/theta_-90/time_9.000000e+00.png
9.00E+00,0,-60,image/phi_0/theta_-60/time_9.000000e+00.png
9.00E+00,0,-30,image/phi_0/theta_-30/time_9.000000e+00.png
9.00E+00,0,0,image/phi_0/theta_0/time_9.000000e+00.png
9.00E+00,0,29,image/phi_0/theta_29/time_9.000000e+00.png
9.00E+00,0,60,image/phi_0/theta_60/time_9.000000e+00.png
9.00E+00,0,90,image/phi_0/theta_90/time_9.000000e+00.png
9.00E+00,59,-90,image/phi_59/theta_-90/time_9.000000e+00.png
9.00E+00,59,-60,image/phi_59/theta_-60/time_9.000000e+00.png
9.00E+00,59,-30,image/phi_59/theta_-30/time_9.000000e+00.png
9.00E+00,59,0,image/phi_59/theta_0/time_9.000000e+00.png
9.00E+00,59,29,image/phi_59/theta_29/time_9.000000e+00.png
9.00E+00,59,60,image/phi_59/theta_60/time_9.000000e+00.png
9.00E+00,59,90,image/phi_59/theta_90/time_9.000000e+00.png
9.00E+00,120,-90,image/phi_120/theta_-90/time_9.000000e+00.png
9.00E+00,120,-60,image/phi_120/theta_-60/time_9.000000e+00.png
9.00E+00,120,-30,image/phi_120/theta_-30/time_9.000000e+00.png
9.00E+00,120,0,image/phi_120/theta_0/time_9.000000e+00.png
9.00E+00,120,29,image/phi_120/theta_29/time_9.000000e+00.png
9.00E+00,120,60,image/phi_120/theta_60/time_9.000000e+00.png
9.00E+00,120,90,image/phi_120/theta_90/time_9.000000e+00.png
9.00E+00,180,-90,image/phi_180/theta_-90/time_9.000000e+00.png
9.00E+00,180,-60,image/phi_180/theta_-60/time_9.000000e+00.png
9.00E+00,180,-30,image/phi_180/theta_-30/time_9.000000e+00.png
9.00E+00,180,0,image/phi_180/theta_0/time_9.000000e+00.png
9.00E+00,180,29,image/phi_180/theta_29/time_9.000000e+00.png
9.00E+00,180,60,image/phi_180/theta_60/time_9.000000e+00.png
9.00E+00,180,90,image/phi_180/theta_90/time_9.000000e+00.png
