Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio
BLOSC_x__, 0, 0, inf, 314.089, 2208.25, 167.407, 1142.12, 1.77475
BLOSC_y__, 0, 0, inf, 315.114, 2198.32, 132.794, 947.63, 1.76565
BLOSC_z__, 0, 0, inf, 269.224, 1645.42, 154.446, 1101.81, 1.71701
SZ_x__tolerance:0.01, 2.55371, 0.702286, 49.6997, 52.251, 124.71, 38.6524, 89.4567, 71.7294
SZ_y__tolerance:0.01, 2.55812, 0.735926, 49.4965, 50.9623, 126.73, 38.2336, 81.5303, 63.567
SZ_z__tolerance:0.01, 2.55948, 0.697626, 49.7286, 50.5903, 119.259, 39.2964, 100.359, 50.8232
SZ_x__tolerance:0.001, 0.255783, 0.00710903, 69.6467, 50.3645, 113.038, 37.7618, 53.5667, 16.5391
SZ_y__tolerance:0.001, 0.255814, 0.0075367, 69.393, 46.8077, 109.966, 37.0495, 49.6068, 15.3533
SZ_z__tolerance:0.001, 0.255692, 0.00705831, 69.6778, 47.2838, 88.4547, 37.2525, 74.2224, 13.2241
SZ_x__tolerance:0.0001, 0.0254364, 7.01679e-05, 89.7034, 44.9809, 68.3404, 36.5058, 33.251, 6.48684
SZ_y__tolerance:0.0001, 0.0254364, 7.45307e-05, 89.4414, 44.1086, 65.9714, 34.6128, 31.5777, 6.26299
SZ_z__tolerance:0.0001, 0.0253296, 6.92496e-05, 89.7606, 44.087, 51.5542, 36.3974, 44.1772, 5.73
SZ_x__tolerance:1e-05, 0.00241089, 6.22983e-07, 110.22, 44.4419, 38.4721, 33.1173, 23.1039, 3.8101
SZ_y__tolerance:1e-05, 0.00241089, 6.61399e-07, 109.96, 44.3937, 38.1193, 32.3028, 22.752, 3.73404
SZ_z__tolerance:1e-05, 0.00231934, 5.25982e-07, 110.955, 43.4339, 32.6441, 35.6759, 28.5852, 3.48572
SZ_x__tolerance:1e-06, 0.00012207, 1.46723e-09, 136.5, 39.1913, 67.6237, 22.9601, 19.2923, 2.38633
SZ_y__tolerance:1e-06, 0.00012207, 1.5536e-09, 136.251, 39.2712, 68.9548, 23.6153, 19.1235, 2.35523
SZ_z__tolerance:1e-06, 0.00012207, 2.64594e-10, 143.939, 28.446, 72.5582, 23.7859, 68.2448, 1.88239
SZ_x__tolerance:1e-07, 224, 0.0478618, 61.3649, 25.7505, 52.8501, 21.9759, 45.334, 1.96036
SZ_y__tolerance:1e-07, 224, 0.049732, 61.1984, 25.763, 53.794, 22.3924, 46.1689, 1.84703
SZ_z__tolerance:1e-07, 0.000213623, 2.07401e-09, 134.997, 28.5689, 72.1034, 22.0399, 48.3193, 2.02481
BigCrunch_x__tolerance:0.01, 1, 0.183659, 55.5247, 27.9429, 164.843, 12.1478, 57.3795, 75.9443
BigCrunch_y__tolerance:0.01, 1, 0.193008, 55.309, 25.9092, 155.141, 11.0008, 75.6619, 71.2311
BigCrunch_z__tolerance:0.01, 1, 0.192638, 55.3174, 12.5094, 117.327, 10.2406, 52.1858, 44.1776
BigCrunch_x__tolerance:0.001, 0.125, 0.00287934, 73.5719, 15.0049, 111.08, 10.5528, 52.3099, 13.553
BigCrunch_y__tolerance:0.001, 0.125, 0.00301344, 73.3742, 14.6021, 105.489, 9.93095, 48.2264, 13.0411
BigCrunch_z__tolerance:0.001, 0.125, 0.00301163, 73.3768, 9.89266, 88.5435, 8.47331, 47.5073, 11.1931
BigCrunch_x__tolerance:0.0001, 0.0078125, 1.12494e-05, 97.6535, 11.8141, 67.8684, 8.72976, 36.4804, 5.05552
BigCrunch_y__tolerance:0.0001, 0.0078125, 1.17714e-05, 97.4565, 11.4923, 68.7335, 8.84534, 33.7008, 4.98338
BigCrunch_z__tolerance:0.0001, 0.0078125, 1.17642e-05, 97.4592, 8.30138, 56.3605, 7.26378, 28.1856, 4.68738
BigCrunch_x__tolerance:1e-05, 0.000976562, 1.75792e-07, 115.715, 10.1439, 51.4058, 7.85238, 31.0972, 3.42981
BigCrunch_y__tolerance:1e-05, 0.000976562, 1.83962e-07, 115.518, 10.101, 51.4058, 7.92915, 28.0777, 3.39652
BigCrunch_z__tolerance:1e-05, 0.000976562, 1.83867e-07, 115.52, 7.606, 49.5553, 6.54732, 30.0461, 3.2564
BigCrunch_x__tolerance:1e-06, 0.00012207, 2.78372e-09, 133.719, 9.16156, 43.5505, 7.26877, 26.25, 2.59533
BigCrunch_y__tolerance:1e-06, 0.00012207, 2.91257e-09, 133.522, 8.95742, 42.8034, 7.19412, 25.3872, 2.5762
BigCrunch_z__tolerance:1e-06, 0.00012207, 2.91573e-09, 133.517, 6.93471, 39.0563, 6.09849, 24.7525, 2.4948
BigCrunch_x__tolerance:1e-07, 1.52588e-05, 4.85274e-11, 151.305, 7.79285, 34.8578, 6.27157, 20.8405, 1.97985
BigCrunch_y__tolerance:1e-07, 1.52588e-05, 5.10752e-11, 151.083, 7.71349, 34.9283, 6.35648, 21.5941, 1.96763
BigCrunch_z__tolerance:1e-07, 1.52588e-05, 4.63769e-11, 151.502, 6.07354, 32.7178, 5.09428, 20.3492, 1.92244
